epoch,elo,error
24,-276.7,26.4
49,-216.4,22.4
74,-212.9,21.7
99,-207.5,22.5
124,-194.5,23.7
149,-135.9,21.1
174,-128.9,22.6
199,-127.7,18.8
224,-118.8,19.1
249,-118.4,22.6
274,-124.1,17.3
299,-104.6,21.8
324,-105.4,20.4
349,-112.9,20.3
374,-112.5,20.6
399,-103.8,16.3
424,-88.3,17.7
449,-71.7,18.2
474,-77.7,18.4
499,-79.6,19.6
524,-88.3,20.4
549,-92.6,21.1
574,-84.1,20.7
599,-91.4,17.9
624,-98.0,21.1
649,-95.3,20.1
674,-65.3,17.7
699,-73.2,19.3
724,-52.0,20.3
749,-62.3,18.5
774,-77.3,17.6
799,-63.3,12.6
